,interruptores,pulsadores,tomadas,total,ibc,desemprego,imobiliario,comercial,residencial,material_eletrico,pib,variacao_pib,consumo,ICST-A,ICST-R,geracaoGWh,IndEletronica,IndEletrica,IndEletronica+Eletrica,IndGeral
2017-11-01,3516356.0,-15825.0,5869115.0,9369646.0,-0.59,3.552713678800501e-15,95635386.27999878,310516371.26000595,1316818048.5201416,-2.3000000000000016,-50669.89999999991,-22.59765811218403,979122.6399999931,1.7000000000000313,1.3999999999999773,-6590.223497666033,14.100000000000001,8.600000000000001,11.240000000000009,2.900000000000013
2017-12-01,-2860261.0,14107.0,-6235877.0,-9082031.0,0.2,-1.7763568394002505e-15,-201955733.1099968,-421035348.86000824,-436681630.0900879,3.4000000000000012,9307.799999999814,11.17180983830659,-874649.2399999797,0.5999999999999801,0.3000000000000256,8339.043525331006,-7.300000000000004,-10.900000000000013,-9.172000000000018,0.6999999999999957
2018-01-01,150206.0,-33452.0,1503549.0,1620303.0,-0.06000000000000005,0.5999999999999979,-78098195.8199997,468676666.79000854,-1922624052.6398926,-3.8000000000000007,-61710.59999999998,-12.295739273116936,695178.609999977,-0.6999999999999886,-1.5000000000000142,-4871.157954616981,4.700000000000003,7.800000000000011,6.312000000000005,-1.8000000000000043
2018-02-01,732100.0,16835.0,1533730.0,2282665.0,0.030000000000000193,-0.5999999999999961,513351702.5499954,-124797117.77000427,2667898700.7000732,3.6,62440.80000000016,21.066541183519412,-279613.77999997884,-5.600000000000023,-1.5,-6313.616643785113,-2.1999999999999957,-5.600000000000001,-3.9679999999999893,-0.09999999999999432
2018-03-01,1885784.0,32487.0,1348160.0,3266431.0,-0.14000000000000035,0.09999999999999787,-469438556.2299957,-86880077.08000183,-515051019.15026855,3.9999999999999987,51445.19999999984,-0.6052055183658069,2537796.5199999884,6.400000000000034,4.500000000000014,13339.405303075306,-1.3000000000000114,4.5,1.716000000000001,1.2000000000000028
2018-04-01,-4318071.0,-55168.0,-4148240.0,-8521479.0,0.8200000000000003,-0.7999999999999989,114013938.4300003,214630458.08000183,-918797754.7697754,-13.399999999999997,-89930.39999999979,-26.632307284873754,-5066352.3000000045,-2.3000000000000256,-3.1000000000000227,-11570.043350040316,4.300000000000011,-5.700000000000003,-0.9000000000000128,-2.70000000000001
2018-05-01,2849394.0,23711.0,1539605.0,4412710.0,-1.42,0.6999999999999975,1778325.4399986267,-539533319.5099983,909987911.829956,9.399999999999999,20393.69999999972,20.71866517710244,2663787.4400000125,1.40000000000002,0.8000000000000114,10487.080759680124,-7.700000000000003,2.5,-2.3959999999999937,3.20000000000001
2018-06-01,2337960.0,56912.0,6396329.0,8791201.0,1.3399999999999996,-0.09999999999999609,27171436.27999878,848560244.7599983,142304874.33984375,2.2,57607.00000000023,6.467938002217943,1395905.8399999887,-5.000000000000028,-2.8999999999999915,-5780.211859000017,3.5999999999999943,2.4000000000000057,2.975999999999999,-5.200000000000003
2018-07-01,-5681254.0,-110847.0,-11327548.0,-17119649.0,-0.5999999999999996,0.29999999999999716,-25425146.370002747,-840296508.7000008,-1386924565.5097656,-5.999999999999999,-77348.90000000014,-24.5501329828204,-1928904.2399999946,9.400000000000034,7.09999999999998,-2681.2837730526808,6.500000000000007,1.499999999999993,3.8999999999999986,10.699999999999996
2018-08-01,4250083.0,68586.0,8442573.0,12761242.0,0.10999999999999988,-0.3000000000000007,47124815.62000275,446650022.33000183,1533249120.5998535,4.399999999999999,28669.199999999953,19.409702617916096,1913047.7200000063,-8.400000000000034,-7.499999999999986,5583.784350158072,5.100000000000001,4.0,4.528000000000006,-3.700000000000003
2018-09-01,-3108624.0,-25346.0,-6363584.0,-9497554.0,-0.1100000000000001,0.1000000000000032,-115813717.94998932,-5909164.850002289,-973484671.4599609,-3.8999999999999986,-23026.89999999979,-9.244356743733713,-561735.1300000027,5.300000000000026,6.300000000000011,-4413.4523441580895,-19.60000000000001,-13.099999999999994,-16.220000000000006,-6.099999999999987
2018-10-01,3149518.0,21309.0,6216048.0,9386875.0,0.1499999999999999,-3.552713678800501e-15,178727115.06998444,-451741892.09000015,-269626476.4499512,4.9,86869.3999999999,19.13855818621552,-1473584.0800000057,-1.4000000000000057,-2.7000000000000313,4969.3185812457305,15.5,9.299999999999997,12.275999999999996,4.699999999999996
2018-11-01,-1958087.0,-10004.0,-3101319.0,-5069410.0,-0.11999999999999944,0.1000000000000032,-153414485.97999573,188371083.04000473,706527420.2598877,-7.600000000000002,-94451.70000000007,-31.96531710278385,979122.6399999931,0.7999999999999972,0.9000000000000199,-3205.3613690025522,2.6000000000000085,8.300000000000004,5.564000000000021,7.699999999999989
2018-12-01,-796767.0,-17048.0,-3278613.0,-4092428.0,-0.0400000000000007,-1.7763568394002505e-15,16922014.010002136,61536047.01999664,-270600558.29992676,6.500000000000002,40549.59999999998,23.99750794963542,-874649.2399999797,-3.6000000000000085,-4.099999999999994,-1987.7590416989697,-24.6,-24.000000000000007,-24.288000000000032,-18.099999999999987
2019-01-01,2193445.0,27970.0,5565828.0,7787243.0,0.0800000000000003,0.3000000000000007,6831825844.580002,377533929.16999817,-3121798498.959961,0.2999999999999998,-41216.19999999984,-14.095654751792537,1359280.819999978,3.3000000000000114,2.299999999999983,8456.778698181995,21.099999999999994,19.300000000000004,20.16400000000003,9.399999999999991
2019-02-01,-736093.0,-5772.0,-1886220.0,-2628085.0,0.37000000000000033,-0.40000000000000036,-13587306633.730011,911123093.5200043,7124249459.639893,-7.7,48165.39999999991,14.81012832318325,-1981452.4599999934,-3.299999999999997,1.1000000000000085,-18166.8400658369,-6.099999999999994,-12.20000000000001,-9.27200000000002,-0.8999999999999915
2019-03-01,132558.0,5970.0,362371.0,500899.0,-0.7100000000000006,-0.10000000000000142,6777574327.56002,-2237436201.130005,-4533691328.359863,10.2,7421.699999999953,-6.441657074954115,4178460.740000017,-0.5,-2.5,20517.64133939321,-0.5000000000000071,6.800000000000011,3.2960000000000065,-1.8999999999999986
2019-04-01,-941316.0,-25819.0,-1546459.0,-2513593.0,0.2000000000000005,-0.3999999999999968,46897467.49998474,716512443.0700073,-81606528.87023926,-2.8,-19100.899999999907,-4.8698880942839615,-5202354.219999984,5.399999999999977,4.6000000000000085,-13733.887217844727,2.9000000000000057,-6.599999999999994,-2.039999999999999,1.5999999999999872
2019-05-01,1800376.0,26811.0,3549138.0,5376322.0,1.1199999999999997,0.4999999999999982,-61430001.459999084,496544626.4499893,619288660.6602783,-8.600000000000001,-4607.300000000047,2.572079006097784,1350630.7199998945,-4.299999999999969,-4.800000000000011,7020.718936614932,-2.200000000000003,7.899999999999984,3.0519999999999996,2.70000000000001
2019-06-01,-1945532.0,-19842.0,-4150594.0,-6115965.0,-1.87,-0.10000000000000142,114679972.98999786,-255064951.2599907,1511105824.0899658,10.000000000000002,-15963.800000000047,-1.8125561574825548,1373973.6000001356,4.699999999999974,6.3999999999999915,-4726.37149900003,0.7000000000000028,7.400000000000006,4.18399999999999,0.5999999999999943
2019-07-01,1329234.0,9495.0,1909844.0,3248572.0,1.12,0.20000000000000284,22356497.16001129,-100343145.48000336,-2647908275.5202637,-2.4000000000000012,53106.90000000002,11.488918004864995,996088.6599999219,-2.299999999999983,-4.09999999999998,6700.832012000035,6.299999999999997,-16.499999999999993,-5.555999999999983,-2.499999999999993
